project,country,status,discovery_year,start_year,operator,owner,parent,fuel_type,unit_type,lat,lng,url
Otumara,Nigeria,operating,,,Shell Petroleum Development Company of Nigeria,Shell;Nigerian National Petroleum Corporation,Shell plc;Nigerian National Petroleum Corporation,oil and gas,field,5.6758,5.1409,https://www.gem.wiki/Otumara_Oil_and_Gas_Field_(Nigeria)
Oweh,Nigeria,operating,1964.0,1966,Nigerian Petroleum Development Company,Nigerian Petroleum Development Company (55%);Shoreline Natural Resources Limited (45%),Nigerian National Petroleum Corporation (55%);Shoreline Power Company Limited (nan%);Heritage Oil Limited (nan%),oil,field,5.491,6.122,https://www.gem.wiki/Oweh_Oil_Field_(Nigeria)
Oyo,Nigeria,operating,,,Allied/Camac,,,oil and gas,field,5.391,4.629,https://www.gem.wiki/Oyo_Oil_and_Gas_Field_(Nigeria)
Oyot,Nigeria,operating,,,Mobil,Nigerian National Petroleum Corporation;ExxonMobil,Nigerian National Petroleum Corporation;ExxonMobil Corporation,oil and gas,field,4.28,7.731,https://www.gem.wiki/Oyot_Oil_and_Gas_Field_(Nigeria)
Parabe/Eko,Nigeria,operating,,,Chevron,Chevron (40%),Chevron Corporation (40%),oil and gas,field,5.892,4.841,https://www.gem.wiki/ParabeEko_Oil_and_Gas_Field_(Nigeria)
Pennington,Nigeria,operating,,,Chevron,,,oil and gas,field,4.641,5.459,https://www.gem.wiki/Pennington_Oil_and_Gas_Field_(Nigeria)
Pirigbene,Nigeria,operating,,,Nigerian Agip Oil Company,,,oil and gas,field,8.6806,7.5529,https://www.gem.wiki/Pirigbene_Oil_and_Gas_Field_(Nigeria)
Preowei,Nigeria,in development,2003.0,2024 (expected),TotalEnergies E&P Nigeria Limited,,,oil,field,3.0396,6.7017,https://www.gem.wiki/Preowei_Oil_Field_(Nigeria)
Qua Ibo,Nigeria,operating,,,Network E&P Limited,,,oil and gas,field,8.6806,7.5529,https://www.gem.wiki/Qua_Ibo_Oil_and_Gas_Field_(Nigeria)
Robertkiri,Nigeria,operating,1964.0,1979,Belemaoil Producing Limited,Belemaoil Producing Limited (40%);Nigerian National Petroleum Corporation (60%),Seplat Petroleum (22.5%);Nigerian National Petroleum Corporation (60%),oil and gas,field,4.5378,6.6301,https://www.gem.wiki/Robertkiri_Oil_and_Gas_Field_(Nigeria)
Samabiri East,Nigeria,operating,,,Nigerian Agip Oil Company,Nigerian National Petroleum Corporation (60%);Nigerian Agip Oil Company (20%);Phillips Oil Company Nigeria Ltd (20%),Nigerian National Petroleum Corporation (60%);Eni (20%);Oando (nan%),oil and gas,field,8.6806,7.5529,https://www.gem.wiki/Samabiri_East_Oil_and_Gas_Field_(Nigeria)
Santa Barbara,Nigeria,operating,,,Aiteo Eastern E&P Company Limited,Aiteo Eastern E&P Company Limited (45%),Aiteo Eastern E&P Company Limited (45%),oil and gas,field,4.5662,6.5317,https://www.gem.wiki/Santa_Barbara_Oil_and_Gas_Field_(Nigeria)
Sapele shallow,Nigeria,operating,,,Seplat,Seplat Petroleum (45%);Nigerian Petroleum Development Company (55%),Seplat Petroleum (45%);Nigerian National Petroleum Corporation (55%),oil,field,5.9126,5.5745,https://www.gem.wiki/Sapele_shallow_Oil_Field_(Nigeria)
Seibou,Nigeria,operating,,,Shell Petroleum Development Company of Nigeria,,,oil and gas,field,8.6806,7.5529,https://www.gem.wiki/Seibou_Oil_and_Gas_Field_(Nigeria)
Soku,Nigeria,operating,,1999,Shell Petroleum Development Company of Nigeria,Shell (30%);Nigerian National Petroleum Corporation (55%);TotalEnergies E&P Nigeria Limited (10%);Eni S.P.A. (5%),Shell plc (30%);Nigerian National Petroleum Corporation (55%);TotalEnergies (10%);Eni S.P.A. (5%),oil,field,4.6711,6.6344,https://www.gem.wiki/Soku_Oil_Field_(Nigeria)
Sonam,Nigeria,operating,,2017,Chevron,Chevron (40%);Nigerian National Petroleum Corporation (60%),Chevron Corporation (40%);Nigerian National Petroleum Corporation (60%),oil and gas,field,5.497,4.819,https://www.gem.wiki/Sonam_Oil_and_Gas_Field_(Nigeria)
Taylor Creek,Nigeria,operating,,,Nigerian Agip Oil Company,,,oil and gas,field,8.6806,7.5529,https://www.gem.wiki/Taylor_Creek_Oil_and_Gas_Field_(Nigeria)
Tubu,Nigeria,discovered,1965.0,,Amni Petroleum,Amni International (40%),Amni International (40%),oil,field,4.404,7.3,https://www.gem.wiki/Tubu_Oil_Field_(Nigeria)
Tunu,Nigeria,operating,,,Shell Petroleum Development Company of Nigeria,Nigerian National Petroleum Corporation (55%);Royal Dutch Shell (30%);TotalEnergies E&P Nigeria Limited (10%);Eni S.P.A. (5%),Nigerian National Petroleum Corporation (55%);Shell plc (nan%);TotalEnergies (10%);Eni S.P.A. (5%),oil and gas,field,4.9134,5.6344,https://www.gem.wiki/Tunu_Oil_and_Gas_Field_(Nigeria)
Ubit,Nigeria,operating,,1970,Mobil,ExxonMobil (40%);Nigerian National Petroleum Corporation (60%),ExxonMobil Corporation (40%);Nigerian National Petroleum Corporation (60%),oil,field,4.23,8.1246,https://www.gem.wiki/Ubit_Oil_Field_(Nigeria)
